Assessment,kindergarten_ID,total_teacher,sickday_week1_day1,sickday_week1_day2,sickday_week1_day3,sickday_week1_day4,sickday_week1_day5,sickday_week2_day1,sickday_week2_day2,sickday_week2_day3,sickday_week2_day4,sickday_week2_day5,sickday_week3_day1,sickday_week3_day2,sickday_week3_day3,sickday_week3_day4,sickday_week3_day5,sickday_week4_day1,sickday_week4_day2,sickday_week4_day3,sickday_week4_day4,sickday_week4_day5,sickday_week5_day1,sickday_week5_day2,sickday_week5_day3,sickday_week5_day4,sickday_week5_day5,sickday_week6_day1,sickday_week6_day2,sickday_week6_day3,sickday_week6_day4,sickday_week6_day5
1,MTB1,16,2,2,1,1,1,3,3,3,3,3,1,2,3,4,5,5,5,4,4,3,2,3,2,3,3,1,1,1,0,1
1,MTB2,9,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
1,MTB3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
1,MZA1,8,1,1,1,1,1,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,MZA2,7,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,PBB1,6,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,PBB2,4,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,3,3,2,2,0,0,0,1,1,0,1,1,1,1
1,RGB1,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,RGB2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MTB1,22,5,3,3,3,5,3,3,4,4,5,4,4,5,3,3,1,0,2,2,2,2,2,2,2,2,2,2,5,4,4
2,MTB2,9,3,3,4,2,2,0,3,3,1,1,3,4,4,3,3,4,4,4,2,2,3,3,3,2,2,3,3,3,2,2
2,MTB3,4,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2,MZA1,7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
2,MZA2,6,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,2,2,3,2,2,3,3,4,2,2,3,4,4
2,PBB1,8,2,2,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1
2,PBB2,5,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,RGB1,8,1,1,1,1,1,4,2,1,1,1,4,4,4,3,3,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1
2,RGB2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0